epsilon: 0.1 | time_left: 15:02:49 | time_elap: 0:02:15 | ep: 25/10000 | loss: 0.4708 | score_dev: 4.38 | avg_ep_time: 0:00:05 | avg_q: 1.4342 | score_avg: 45.0 | score: 42 | time: 18:27:37 | reward: -76 | 
epsilon: 0.1 | time_left: 15:01:20 | time_elap: 0:02:20 | ep: 26/10000 | loss: 0.2154 | score_dev: 4.32 | avg_ep_time: 0:00:05 | avg_q: 1.7356 | score_avg: 45.0 | score: 42 | time: 18:27:43 | reward: -72 | 
epsilon: 0.1 | time_left: 14:59:52 | time_elap: 0:02:26 | ep: 27/10000 | loss: 6.5158 | score_dev: 4.26 | avg_ep_time: 0:00:05 | avg_q: 1.9810 | score_avg: 44.0 | score: 42 | time: 18:27:48 | reward: -72 | 
epsilon: 0.1 | time_left: 14:58:32 | time_elap: 0:02:31 | ep: 28/10000 | loss: 0.4081 | score_dev: 4.21 | avg_ep_time: 0:00:05 | avg_q: 2.1145 | score_avg: 44.0 | score: 42 | time: 18:27:53 | reward: -74 | 
epsilon: 0.1 | time_left: 14:57:10 | time_elap: 0:02:36 | ep: 29/10000 | loss: 0.5191 | score_dev: 4.16 | avg_ep_time: 0:00:05 | avg_q: 2.1106 | score_avg: 44.0 | score: 42 | time: 18:27:58 | reward: -76 | 
epsilon: 0.1 | time_left: 14:56:02 | time_elap: 0:02:41 | ep: 30/10000 | loss: 6.8532 | score_dev: 4.11 | avg_ep_time: 0:00:05 | avg_q: 1.9704 | score_avg: 44.0 | score: 42 | time: 18:28:03 | reward: -70 | 
epsilon: 0.1 | time_left: 14:54:50 | time_elap: 0:02:46 | ep: 31/10000 | loss: 3.5515 | score_dev: 4.06 | avg_ep_time: 0:00:05 | avg_q: 1.7851 | score_avg: 44.0 | score: 42 | time: 18:28:09 | reward: -74 | 
epsilon: 0.1 | time_left: 14:57:28 | time_elap: 0:02:52 | ep: 32/10000 | loss: 3.3783 | score_dev: 4.08 | avg_ep_time: 0:00:05 | avg_q: 1.5980 | score_avg: 44.0 | score: 49 | time: 18:28:14 | reward: -69 | 
epsilon: 0.1 | time_left: 14:56:20 | time_elap: 0:02:58 | ep: 33/10000 | loss: 6.4865 | score_dev: 4.04 | avg_ep_time: 0:00:05 | avg_q: 1.4379 | score_avg: 44.0 | score: 42 | time: 18:28:20 | reward: -70 | 
epsilon: 0.1 | time_left: 14:55:25 | time_elap: 0:03:03 | ep: 34/10000 | loss: 0.2020 | score_dev: 4.0 | avg_ep_time: 0:00:05 | avg_q: 1.3275 | score_avg: 44.0 | score: 42 | time: 18:28:25 | reward: -76 | 
epsilon: 0.1 | time_left: 14:58:18 | time_elap: 0:03:09 | ep: 35/10000 | loss: 3.3774 | score_dev: 4.06 | avg_ep_time: 0:00:05 | avg_q: 1.2600 | score_avg: 44.0 | score: 50 | time: 18:28:31 | reward: -66 | 
epsilon: 0.1 | time_left: 14:57:27 | time_elap: 0:03:14 | ep: 36/10000 | loss: 0.3639 | score_dev: 4.02 | avg_ep_time: 0:00:05 | avg_q: 1.2284 | score_avg: 44.0 | score: 42 | time: 18:28:36 | reward: -72 | 
epsilon: 0.1 | time_left: 14:56:30 | time_elap: 0:03:19 | ep: 37/10000 | loss: 3.5224 | score_dev: 3.98 | avg_ep_time: 0:00:05 | avg_q: 1.2204 | score_avg: 44.0 | score: 42 | time: 18:28:41 | reward: -74 | 
epsilon: 0.1 | time_left: 14:55:38 | time_elap: 0:03:24 | ep: 38/10000 | loss: 6.6782 | score_dev: 3.94 | avg_ep_time: 0:00:05 | avg_q: 1.2346 | score_avg: 44.0 | score: 42 | time: 18:28:47 | reward: -80 | 
epsilon: 0.1 | time_left: 14:54:47 | time_elap: 0:03:30 | ep: 39/10000 | loss: 3.4677 | score_dev: 3.91 | avg_ep_time: 0:00:05 | avg_q: 1.2739 | score_avg: 44.0 | score: 42 | time: 18:28:52 | reward: -72 | 
epsilon: 0.1 | time_left: 14:53:58 | time_elap: 0:03:35 | ep: 40/10000 | loss: 9.8011 | score_dev: 3.87 | avg_ep_time: 0:00:05 | avg_q: 1.3252 | score_avg: 44.0 | score: 42 | time: 18:28:57 | reward: -72 | 
epsilon: 0.1 | time_left: 14:53:22 | time_elap: 0:03:40 | ep: 41/10000 | loss: 7.1909 | score_dev: 3.83 | avg_ep_time: 0:00:05 | avg_q: 1.4256 | score_avg: 44.0 | score: 42 | time: 18:29:02 | reward: -70 | 
epsilon: 0.1 | time_left: 14:52:36 | time_elap: 0:03:45 | ep: 42/10000 | loss: 3.9830 | score_dev: 3.8 | avg_ep_time: 0:00:05 | avg_q: 1.5865 | score_avg: 44.0 | score: 42 | time: 18:29:07 | reward: -76 | 
epsilon: 0.1 | time_left: 14:55:00 | time_elap: 0:03:51 | ep: 43/10000 | loss: 0.6865 | score_dev: 3.83 | avg_ep_time: 0:00:05 | avg_q: 1.8189 | score_avg: 44.0 | score: 49 | time: 18:29:13 | reward: -64 | 
epsilon: 0.1 | time_left: 14:54:11 | time_elap: 0:03:57 | ep: 44/10000 | loss: 6.7787 | score_dev: 3.8 | avg_ep_time: 0:00:05 | avg_q: 2.1038 | score_avg: 44.0 | score: 42 | time: 18:29:19 | reward: -74 | 
epsilon: 0.1 | time_left: 14:58:16 | time_elap: 0:04:03 | ep: 45/10000 | loss: 3.3800 | score_dev: 4.04 | avg_ep_time: 0:00:05 | avg_q: 2.4127 | score_avg: 44.0 | score: 54 | time: 18:29:25 | reward: -65 | 
epsilon: 0.1 | time_left: 14:57:28 | time_elap: 0:04:08 | ep: 46/10000 | loss: 0.2241 | score_dev: 4.01 | avg_ep_time: 0:00:05 | avg_q: 2.6713 | score_avg: 44.0 | score: 42 | time: 18:29:30 | reward: -74 | 
epsilon: 0.1 | time_left: 14:56:39 | time_elap: 0:04:14 | ep: 47/10000 | loss: 3.8141 | score_dev: 3.98 | avg_ep_time: 0:00:05 | avg_q: 2.7773 | score_avg: 44.0 | score: 42 | time: 18:29:36 | reward: -80 | 
epsilon: 0.1 | time_left: 14:55:54 | time_elap: 0:04:19 | ep: 48/10000 | loss: 3.8109 | score_dev: 3.95 | avg_ep_time: 0:00:05 | avg_q: 2.7009 | score_avg: 44.0 | score: 42 | time: 18:29:41 | reward: -70 | 
