epsilon: 0.1 | time_left: 14:32:39 | time_elap: 0:02:11 | ep: 25/10000 | loss: 3.4012 | score_dev: 5.36 | avg_ep_time: 0:00:05 | avg_q: 1.7438 | score_avg: 44.0 | score: 42 | time: 15:55:42 | reward: -71 | 
epsilon: 0.1 | time_left: 14:31:48 | time_elap: 0:02:16 | ep: 26/10000 | loss: 0.2126 | score_dev: 5.27 | avg_ep_time: 0:00:05 | avg_q: 1.6534 | score_avg: 44.0 | score: 42 | time: 15:55:47 | reward: -76 | 
epsilon: 0.1 | time_left: 14:31:02 | time_elap: 0:02:21 | ep: 27/10000 | loss: 9.6443 | score_dev: 5.18 | avg_ep_time: 0:00:05 | avg_q: 1.6370 | score_avg: 44.0 | score: 42 | time: 15:55:52 | reward: -76 | 
epsilon: 0.1 | time_left: 14:30:30 | time_elap: 0:02:26 | ep: 28/10000 | loss: 6.4710 | score_dev: 5.09 | avg_ep_time: 0:00:05 | avg_q: 1.7207 | score_avg: 44.0 | score: 42 | time: 15:55:57 | reward: -70 | 
epsilon: 0.1 | time_left: 14:29:43 | time_elap: 0:02:31 | ep: 29/10000 | loss: 12.6870 | score_dev: 5.01 | avg_ep_time: 0:00:05 | avg_q: 1.4940 | score_avg: 44.0 | score: 42 | time: 15:56:03 | reward: -74 | 
epsilon: 0.1 | time_left: 14:28:59 | time_elap: 0:02:36 | ep: 30/10000 | loss: 0.2967 | score_dev: 4.94 | avg_ep_time: 0:00:05 | avg_q: 2.2482 | score_avg: 44.0 | score: 42 | time: 15:56:08 | reward: -70 | 
epsilon: 0.1 | time_left: 14:28:14 | time_elap: 0:02:41 | ep: 31/10000 | loss: 9.9982 | score_dev: 4.86 | avg_ep_time: 0:00:05 | avg_q: 1.0444 | score_avg: 44.0 | score: 42 | time: 15:56:13 | reward: -74 | 
epsilon: 0.1 | time_left: 14:27:24 | time_elap: 0:02:47 | ep: 32/10000 | loss: 0.6270 | score_dev: 4.79 | avg_ep_time: 0:00:05 | avg_q: 1.6065 | score_avg: 44.0 | score: 42 | time: 15:56:18 | reward: -72 | 
epsilon: 0.1 | time_left: 14:26:52 | time_elap: 0:02:52 | ep: 33/10000 | loss: 9.6550 | score_dev: 4.72 | avg_ep_time: 0:00:05 | avg_q: 1.6539 | score_avg: 44.0 | score: 42 | time: 15:56:23 | reward: -70 | 
epsilon: 0.1 | time_left: 14:30:43 | time_elap: 0:02:58 | ep: 34/10000 | loss: 3.2733 | score_dev: 4.78 | avg_ep_time: 0:00:05 | avg_q: 1.7527 | score_avg: 44.0 | score: 50 | time: 15:56:29 | reward: -67 | 
epsilon: 0.1 | time_left: 14:30:08 | time_elap: 0:03:03 | ep: 35/10000 | loss: 3.2089 | score_dev: 4.72 | avg_ep_time: 0:00:05 | avg_q: 1.6695 | score_avg: 44.0 | score: 42 | time: 15:56:34 | reward: -72 | 
epsilon: 0.1 | time_left: 14:29:29 | time_elap: 0:03:08 | ep: 36/10000 | loss: 3.2703 | score_dev: 4.66 | avg_ep_time: 0:00:05 | avg_q: 1.7368 | score_avg: 44.0 | score: 42 | time: 15:56:39 | reward: -72 | 
epsilon: 0.1 | time_left: 14:28:55 | time_elap: 0:03:13 | ep: 37/10000 | loss: 12.7468 | score_dev: 4.6 | avg_ep_time: 0:00:05 | avg_q: 1.4202 | score_avg: 44.0 | score: 42 | time: 15:56:44 | reward: -72 | 
epsilon: 0.1 | time_left: 14:28:19 | time_elap: 0:03:18 | ep: 38/10000 | loss: 3.4378 | score_dev: 4.55 | avg_ep_time: 0:00:05 | avg_q: 1.8137 | score_avg: 44.0 | score: 42 | time: 15:56:49 | reward: -74 | 
epsilon: 0.1 | time_left: 14:30:38 | time_elap: 0:03:24 | ep: 39/10000 | loss: 6.4511 | score_dev: 4.55 | avg_ep_time: 0:00:05 | avg_q: 1.5551 | score_avg: 44.0 | score: 48 | time: 15:56:55 | reward: -69 | 
epsilon: 0.1 | time_left: 14:32:55 | time_elap: 0:03:30 | ep: 40/10000 | loss: 3.3386 | score_dev: 4.54 | avg_ep_time: 0:00:05 | avg_q: 1.9119 | score_avg: 44.0 | score: 48 | time: 15:57:01 | reward: -65 | 
epsilon: 0.1 | time_left: 14:32:27 | time_elap: 0:03:35 | ep: 41/10000 | loss: 7.2076 | score_dev: 4.49 | avg_ep_time: 0:00:05 | avg_q: 3.2906 | score_avg: 44.0 | score: 42 | time: 15:57:06 | reward: -74 | 
epsilon: 0.1 | time_left: 14:31:44 | time_elap: 0:03:40 | ep: 42/10000 | loss: 0.5187 | score_dev: 4.44 | avg_ep_time: 0:00:05 | avg_q: 2.1024 | score_avg: 44.0 | score: 42 | time: 15:57:11 | reward: -70 | 
epsilon: 0.1 | time_left: 14:31:11 | time_elap: 0:03:45 | ep: 43/10000 | loss: 0.7181 | score_dev: 4.4 | avg_ep_time: 0:00:05 | avg_q: 3.0846 | score_avg: 44.0 | score: 42 | time: 15:57:16 | reward: -72 | 
