loss: 11.1844 | epoch: 30/20000 | score: 77 | time left: 1 day, 8:25:02 | avg_q: 71.6011 | epsilon: 1.0 | reward: -113 | avg time per epoch: 0:00:05 | time elapsed: 0:03:01 | 
loss: 4.2673 | epoch: 31/20000 | score: 51 | time left: 1 day, 8:26:23 | avg_q: 66.8308 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:05 | time elapsed: 0:03:07 | 
loss: 5.7748 | epoch: 32/20000 | score: 42 | time left: 1 day, 8:16:58 | avg_q: 57.2741 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:03:12 | 
loss: 8.9538 | epoch: 33/20000 | score: 56 | time left: 1 day, 8:22:46 | avg_q: 53.2468 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:03:18 | 
loss: 3.7489 | epoch: 34/20000 | score: 49 | time left: 1 day, 8:21:42 | avg_q: 52.5283 | epsilon: 1.0 | reward: -105 | avg time per epoch: 0:00:05 | time elapsed: 0:03:24 | 
loss: 2.8660 | epoch: 35/20000 | score: 41 | time left: 1 day, 8:12:21 | avg_q: 46.7765 | epsilon: 1.0 | reward: -96 | avg time per epoch: 0:00:05 | time elapsed: 0:03:29 | 
loss: 9.3070 | epoch: 36/20000 | score: 42 | time left: 1 day, 8:04:28 | avg_q: 45.9898 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:03:34 | 
loss: 7.6747 | epoch: 37/20000 | score: 61 | time left: 1 day, 8:15:05 | avg_q: 52.8934 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:03:41 | 
loss: 4.9404 | epoch: 38/20000 | score: 42 | time left: 1 day, 8:07:17 | avg_q: 45.1558 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:03:45 | 
loss: 8.7669 | epoch: 39/20000 | score: 42 | time left: 1 day, 7:59:43 | avg_q: 42.8932 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:03:50 | 
loss: 5.0588 | epoch: 40/20000 | score: 41 | time left: 1 day, 7:52:37 | avg_q: 38.2880 | epsilon: 1.0 | reward: -98 | avg time per epoch: 0:00:05 | time elapsed: 0:03:55 | 
loss: 6.4523 | epoch: 41/20000 | score: 42 | time left: 1 day, 7:47:32 | avg_q: 35.0581 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:04:00 | 
loss: 2.1344 | epoch: 42/20000 | score: 100 | time left: 1 day, 8:27:34 | avg_q: 32.8183 | epsilon: 1.0 | reward: -98 | avg time per epoch: 0:00:05 | time elapsed: 0:04:11 | 
loss: 5.9168 | epoch: 43/20000 | score: 41 | time left: 1 day, 8:19:33 | avg_q: 32.0558 | epsilon: 1.0 | reward: -93 | avg time per epoch: 0:00:05 | time elapsed: 0:04:16 | 
loss: 3.6669 | epoch: 44/20000 | score: 50 | time left: 1 day, 8:18:23 | avg_q: 34.3875 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:05 | time elapsed: 0:04:22 | 
loss: 2.2459 | epoch: 45/20000 | score: 49 | time left: 1 day, 8:17:36 | avg_q: 32.5055 | epsilon: 1.0 | reward: -95 | avg time per epoch: 0:00:05 | time elapsed: 0:04:27 | 
loss: 5.7528 | epoch: 46/20000 | score: 61 | time left: 1 day, 8:26:06 | avg_q: 33.7754 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:05 | time elapsed: 0:04:35 | 
loss: 6.7363 | epoch: 47/20000 | score: 42 | time left: 1 day, 8:19:35 | avg_q: 39.2319 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:04:39 | 
loss: 6.5601 | epoch: 48/20000 | score: 63 | time left: 1 day, 8:28:39 | avg_q: 36.2749 | epsilon: 1.0 | reward: -107 | avg time per epoch: 0:00:05 | time elapsed: 0:04:47 | 
loss: 6.0529 | epoch: 49/20000 | score: 42 | time left: 1 day, 8:22:08 | avg_q: 34.0300 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:04:52 | 
loss: 5.4193 | epoch: 50/20000 | score: 43 | time left: 1 day, 8:16:13 | avg_q: 33.0383 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:04:56 | 
loss: 4.3591 | epoch: 51/20000 | score: 42 | time left: 1 day, 8:10:39 | avg_q: 39.5653 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:05 | time elapsed: 0:05:01 | 
loss: 6.2462 | epoch: 52/20000 | score: 42 | time left: 1 day, 8:04:56 | avg_q: 30.7093 | epsilon: 1.0 | reward: -96 | avg time per epoch: 0:00:05 | time elapsed: 0:05:06 | 
loss: 5.7618 | epoch: 53/20000 | score: 50 | time left: 1 day, 8:04:56 | avg_q: 31.7205 | epsilon: 1.0 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:05:12 | 
loss: 5.5085 | epoch: 54/20000 | score: 52 | time left: 1 day, 8:05:54 | avg_q: 37.6155 | epsilon: 1.0 | reward: -105 | avg time per epoch: 0:00:05 | time elapsed: 0:05:18 | 
loss: 2.0225 | epoch: 55/20000 | score: 50 | time left: 1 day, 8:05:13 | avg_q: 48.4680 | epsilon: 1.0 | reward: -95 | avg time per epoch: 0:00:05 | time elapsed: 0:05:24 | 
