loss: 4.2488 | epoch: 30/50000 | score: 42 | time left: 3 days, 10:54:18 | avg_q: -7.0104 | epsilon: 0.99 | reward: -112 | avg time per epoch: 0:00:05 | time elapsed: 0:03:05 | 
loss: 4.2774 | epoch: 31/50000 | score: 67 | time left: 3 days, 11:34:26 | avg_q: -7.1288 | epsilon: 0.99 | reward: -126 | avg time per epoch: 0:00:06 | time elapsed: 0:03:12 | 
loss: 1.4848 | epoch: 32/50000 | score: 42 | time left: 3 days, 11:05:48 | avg_q: -7.0830 | epsilon: 0.99 | reward: -110 | avg time per epoch: 0:00:05 | time elapsed: 0:03:17 | 
loss: 2.8824 | epoch: 33/50000 | score: 43 | time left: 3 days, 10:41:11 | avg_q: -7.6124 | epsilon: 0.99 | reward: -112 | avg time per epoch: 0:00:05 | time elapsed: 0:03:22 | 
loss: 1.4566 | epoch: 34/50000 | score: 42 | time left: 3 days, 10:17:54 | avg_q: -8.9715 | epsilon: 0.99 | reward: -111 | avg time per epoch: 0:00:05 | time elapsed: 0:03:27 | 
loss: 4.1704 | epoch: 35/50000 | score: 78 | time left: 3 days, 11:21:10 | avg_q: -12.4135 | epsilon: 0.99 | reward: -118 | avg time per epoch: 0:00:06 | time elapsed: 0:03:36 | 
loss: 2.8333 | epoch: 36/50000 | score: 66 | time left: 3 days, 11:54:17 | avg_q: -8.3882 | epsilon: 0.99 | reward: -118 | avg time per epoch: 0:00:06 | time elapsed: 0:03:43 | 
loss: 1.4958 | epoch: 37/50000 | score: 65 | time left: 3 days, 12:23:06 | avg_q: -10.2447 | epsilon: 0.99 | reward: -119 | avg time per epoch: 0:00:06 | time elapsed: 0:03:51 | 
loss: 1.4719 | epoch: 38/50000 | score: 63 | time left: 3 days, 12:47:11 | avg_q: -12.8330 | epsilon: 0.99 | reward: -115 | avg time per epoch: 0:00:06 | time elapsed: 0:03:58 | 
loss: 4.1186 | epoch: 39/50000 | score: 52 | time left: 3 days, 12:44:39 | avg_q: -19.9964 | epsilon: 0.99 | reward: -115 | avg time per epoch: 0:00:06 | time elapsed: 0:04:04 | 
