loss: 4.7980 | epoch: 30/20000 | score: 41 | time left: 1 day, 8:40:01 | avg_q: 49.6605 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:03:02 | 
loss: 2.1475 | epoch: 31/20000 | score: 42 | time left: 1 day, 8:29:51 | avg_q: 37.8063 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:03:07 | 
loss: 1.7944 | epoch: 32/20000 | score: 51 | time left: 1 day, 8:29:41 | avg_q: 33.7144 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:03:13 | 
loss: 8.1308 | epoch: 33/20000 | score: 51 | time left: 1 day, 8:29:30 | avg_q: 29.8978 | epsilon: 1.0 | reward: -83 | avg time per epoch: 0:00:05 | time elapsed: 0:03:19 | 
loss: 1.5304 | epoch: 34/20000 | score: 69 | time left: 1 day, 8:47:45 | avg_q: 31.4177 | epsilon: 1.0 | reward: -80 | avg time per epoch: 0:00:05 | time elapsed: 0:03:26 | 
loss: 8.1098 | epoch: 35/20000 | score: 41 | time left: 1 day, 8:38:54 | avg_q: 29.7232 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:03:31 | 
loss: 1.5589 | epoch: 36/20000 | score: 48 | time left: 1 day, 8:37:01 | avg_q: 32.8174 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:03:37 | 
loss: 1.5723 | epoch: 37/20000 | score: 42 | time left: 1 day, 8:28:34 | avg_q: 39.6003 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:03:42 | 
loss: 4.0171 | epoch: 38/20000 | score: 61 | time left: 1 day, 8:37:19 | avg_q: 38.0866 | epsilon: 1.0 | reward: -82 | avg time per epoch: 0:00:05 | time elapsed: 0:03:49 | 
loss: 8.5113 | epoch: 39/20000 | score: 50 | time left: 1 day, 8:35:38 | avg_q: 41.9462 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:03:55 | 
loss: 13.5887 | epoch: 40/20000 | score: 41 | time left: 1 day, 8:27:45 | avg_q: 51.5882 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:04:00 | 
loss: 2.4366 | epoch: 41/20000 | score: 43 | time left: 1 day, 8:23:17 | avg_q: 56.9030 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:04:05 | 
loss: 8.3136 | epoch: 42/20000 | score: 41 | time left: 1 day, 8:15:18 | avg_q: 68.8894 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:04:10 | 
loss: 3.3002 | epoch: 43/20000 | score: 61 | time left: 1 day, 8:24:34 | avg_q: 70.5691 | epsilon: 1.0 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:04:17 | 
loss: 8.0209 | epoch: 44/20000 | score: 41 | time left: 1 day, 8:16:48 | avg_q: 66.1917 | epsilon: 1.0 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:04:22 | 
loss: 2.5186 | epoch: 45/20000 | score: 50 | time left: 1 day, 8:16:58 | avg_q: 73.6438 | epsilon: 1.0 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:04:27 | 
