loss: 16.2112 | epoch: 31/30000 | score: 41 | time left: 1 day, 22:45:00 | avg_q: 1.5981 | epsilon: 1.0 | reward: -127 | avg time per epoch: 0:00:05 | time elapsed: 0:02:54 | 
loss: 3.7846 | epoch: 32/30000 | score: 69 | time left: 1 day, 23:22:51 | avg_q: 1.9363 | epsilon: 1.0 | reward: -192 | avg time per epoch: 0:00:05 | time elapsed: 0:03:02 | 
loss: 9.8643 | epoch: 33/30000 | score: 42 | time left: 1 day, 23:11:13 | avg_q: 2.1296 | epsilon: 1.0 | reward: -119 | avg time per epoch: 0:00:05 | time elapsed: 0:03:07 | 
loss: 15.5510 | epoch: 34/30000 | score: 53 | time left: 1 day, 23:17:11 | avg_q: 2.2616 | epsilon: 1.0 | reward: -167 | avg time per epoch: 0:00:05 | time elapsed: 0:03:13 | 
loss: 9.7446 | epoch: 35/30000 | score: 41 | time left: 1 day, 23:06:29 | avg_q: 2.2194 | epsilon: 0.99 | reward: -125 | avg time per epoch: 0:00:05 | time elapsed: 0:03:18 | 
loss: 19.1722 | epoch: 36/30000 | score: 51 | time left: 1 day, 23:10:05 | avg_q: 2.1764 | epsilon: 0.99 | reward: -157 | avg time per epoch: 0:00:05 | time elapsed: 0:03:24 | 
loss: 19.2118 | epoch: 37/30000 | score: 41 | time left: 1 day, 22:58:25 | avg_q: 2.0759 | epsilon: 0.99 | reward: -126 | avg time per epoch: 0:00:05 | time elapsed: 0:03:28 | 
loss: 16.1950 | epoch: 38/30000 | score: 42 | time left: 1 day, 22:48:40 | avg_q: 2.0841 | epsilon: 0.99 | reward: -141 | avg time per epoch: 0:00:05 | time elapsed: 0:03:33 | 
loss: 10.2481 | epoch: 39/30000 | score: 41 | time left: 1 day, 22:39:32 | avg_q: 2.1816 | epsilon: 0.99 | reward: -129 | avg time per epoch: 0:00:05 | time elapsed: 0:03:38 | 
loss: 12.6729 | epoch: 40/30000 | score: 42 | time left: 1 day, 22:30:53 | avg_q: 2.0722 | epsilon: 0.99 | reward: -135 | avg time per epoch: 0:00:05 | time elapsed: 0:03:43 | 
loss: 9.9465 | epoch: 41/30000 | score: 51 | time left: 1 day, 22:34:00 | avg_q: 2.5940 | epsilon: 0.99 | reward: -158 | avg time per epoch: 0:00:05 | time elapsed: 0:03:49 | 
loss: 16.0902 | epoch: 42/30000 | score: 41 | time left: 1 day, 22:27:23 | avg_q: 2.6896 | epsilon: 0.99 | reward: -122 | avg time per epoch: 0:00:05 | time elapsed: 0:03:54 | 
loss: 9.8764 | epoch: 43/30000 | score: 67 | time left: 1 day, 22:50:01 | avg_q: 2.6602 | epsilon: 0.99 | reward: -179 | avg time per epoch: 0:00:05 | time elapsed: 0:04:02 | 
loss: 15.9642 | epoch: 44/30000 | score: 41 | time left: 1 day, 22:40:49 | avg_q: 2.7925 | epsilon: 0.99 | reward: -128 | avg time per epoch: 0:00:05 | time elapsed: 0:04:06 | 
loss: 0.5905 | epoch: 45/30000 | score: 52 | time left: 1 day, 22:45:19 | avg_q: 2.7097 | epsilon: 0.99 | reward: -170 | avg time per epoch: 0:00:05 | time elapsed: 0:04:12 | 
loss: 12.8791 | epoch: 46/30000 | score: 41 | time left: 1 day, 22:37:37 | avg_q: 2.9474 | epsilon: 0.99 | reward: -133 | avg time per epoch: 0:00:05 | time elapsed: 0:04:17 | 
loss: 12.8859 | epoch: 47/30000 | score: 57 | time left: 1 day, 22:47:14 | avg_q: 2.6953 | epsilon: 0.99 | reward: -169 | avg time per epoch: 0:00:05 | time elapsed: 0:04:24 | 
loss: 9.5223 | epoch: 48/30000 | score: 59 | time left: 1 day, 22:59:35 | avg_q: 2.8814 | epsilon: 0.99 | reward: -180 | avg time per epoch: 0:00:05 | time elapsed: 0:04:31 | 
loss: 16.0478 | epoch: 49/30000 | score: 48 | time left: 1 day, 22:58:01 | avg_q: 2.7578 | epsilon: 0.99 | reward: -149 | avg time per epoch: 0:00:05 | time elapsed: 0:04:36 | 
loss: 9.6992 | epoch: 50/30000 | score: 41 | time left: 1 day, 22:49:49 | avg_q: 2.8740 | epsilon: 0.99 | reward: -142 | avg time per epoch: 0:00:05 | time elapsed: 0:04:41 | 
loss: 7.2883 | epoch: 51/30000 | score: 42 | time left: 1 day, 22:42:53 | avg_q: 3.3051 | epsilon: 0.99 | reward: -123 | avg time per epoch: 0:00:05 | time elapsed: 0:04:46 | 
loss: 6.8917 | epoch: 52/30000 | score: 69 | time left: 1 day, 23:04:51 | avg_q: 3.7328 | epsilon: 0.99 | reward: -215 | avg time per epoch: 0:00:05 | time elapsed: 0:04:54 | 
loss: 9.9013 | epoch: 53/30000 | score: 58 | time left: 1 day, 23:13:41 | avg_q: 3.5003 | epsilon: 0.99 | reward: -168 | avg time per epoch: 0:00:05 | time elapsed: 0:05:00 | 
loss: 3.4934 | epoch: 54/30000 | score: 49 | time left: 1 day, 23:14:29 | avg_q: 4.2118 | epsilon: 0.99 | reward: -160 | avg time per epoch: 0:00:05 | time elapsed: 0:05:06 | 
loss: 19.6502 | epoch: 55/30000 | score: 56 | time left: 1 day, 23:21:05 | avg_q: 3.4698 | epsilon: 0.99 | reward: -156 | avg time per epoch: 0:00:05 | time elapsed: 0:05:13 | 
loss: 3.5298 | epoch: 56/30000 | score: 57 | time left: 1 day, 23:28:14 | avg_q: 3.7279 | epsilon: 0.99 | reward: -169 | avg time per epoch: 0:00:05 | time elapsed: 0:05:19 | 
loss: 16.1839 | epoch: 57/30000 | score: 56 | time left: 1 day, 23:33:48 | avg_q: 3.5403 | epsilon: 0.99 | reward: -162 | avg time per epoch: 0:00:05 | time elapsed: 0:05:25 | 
loss: 16.7060 | epoch: 58/30000 | score: 42 | time left: 1 day, 23:27:35 | avg_q: 3.6943 | epsilon: 0.99 | reward: -154 | avg time per epoch: 0:00:05 | time elapsed: 0:05:30 | 
loss: 12.8474 | epoch: 59/30000 | score: 41 | time left: 1 day, 23:19:50 | avg_q: 4.0095 | epsilon: 0.99 | reward: -114 | avg time per epoch: 0:00:05 | time elapsed: 0:05:35 | 
loss: 9.9920 | epoch: 60/30000 | score: 41 | time left: 1 day, 23:13:28 | avg_q: 3.6381 | epsilon: 0.99 | reward: -139 | avg time per epoch: 0:00:05 | time elapsed: 0:05:40 | 
loss: 16.5820 | epoch: 61/30000 | score: 41 | time left: 1 day, 23:06:32 | avg_q: 4.0673 | epsilon: 0.98 | reward: -128 | avg time per epoch: 0:00:05 | time elapsed: 0:05:45 | 
loss: 20.1251 | epoch: 62/30000 | score: 58 | time left: 1 day, 23:15:54 | avg_q: 3.7428 | epsilon: 0.98 | reward: -170 | avg time per epoch: 0:00:05 | time elapsed: 0:05:52 | 
loss: 13.3435 | epoch: 63/30000 | score: 41 | time left: 1 day, 23:09:21 | avg_q: 4.1544 | epsilon: 0.98 | reward: -143 | avg time per epoch: 0:00:05 | time elapsed: 0:05:57 | 
loss: 16.1505 | epoch: 64/30000 | score: 41 | time left: 1 day, 23:02:45 | avg_q: 4.1757 | epsilon: 0.98 | reward: -132 | avg time per epoch: 0:00:05 | time elapsed: 0:06:02 | 
