epsilon: 0.1 | time_left: 13:53:34 | time_elap: 0:02:05 | ep: 25/10000 | loss: 6.6153 | score_dev: 1.83 | avg_ep_time: 0:00:05 | avg_q: 1.5109 | score_avg: 42.0 | score: 42 | time: 18:22:57 | reward: -74 | 
epsilon: 0.1 | time_left: 13:59:40 | time_elap: 0:02:11 | ep: 26/10000 | loss: 12.9086 | score_dev: 2.32 | avg_ep_time: 0:00:05 | avg_q: 1.6372 | score_avg: 43.0 | score: 50 | time: 18:23:03 | reward: -69 | 
epsilon: 0.1 | time_left: 14:05:13 | time_elap: 0:02:17 | ep: 27/10000 | loss: 6.4892 | score_dev: 2.67 | avg_ep_time: 0:00:05 | avg_q: 1.7687 | score_avg: 43.0 | score: 50 | time: 18:23:09 | reward: -65 | 
epsilon: 0.1 | time_left: 14:04:48 | time_elap: 0:02:22 | ep: 28/10000 | loss: 0.1178 | score_dev: 2.62 | avg_ep_time: 0:00:05 | avg_q: 1.7350 | score_avg: 43.0 | score: 42 | time: 18:23:14 | reward: -74 | 
epsilon: 0.1 | time_left: 14:14:21 | time_elap: 0:02:29 | ep: 29/10000 | loss: 6.4152 | score_dev: 3.79 | avg_ep_time: 0:00:05 | avg_q: 1.6270 | score_avg: 44.0 | score: 58 | time: 18:23:20 | reward: -63 | 
epsilon: 0.1 | time_left: 14:13:51 | time_elap: 0:02:34 | ep: 30/10000 | loss: 6.5245 | score_dev: 3.74 | avg_ep_time: 0:00:05 | avg_q: 1.8731 | score_avg: 43.0 | score: 42 | time: 18:23:25 | reward: -72 | 
epsilon: 0.1 | time_left: 14:13:54 | time_elap: 0:02:39 | ep: 31/10000 | loss: 6.4667 | score_dev: 3.69 | avg_ep_time: 0:00:05 | avg_q: 1.5088 | score_avg: 43.0 | score: 42 | time: 18:23:31 | reward: -73 | 
epsilon: 0.1 | time_left: 14:13:36 | time_elap: 0:02:44 | ep: 32/10000 | loss: 0.3047 | score_dev: 3.63 | avg_ep_time: 0:00:05 | avg_q: 2.0752 | score_avg: 43.0 | score: 42 | time: 18:23:36 | reward: -72 | 
epsilon: 0.1 | time_left: 14:13:19 | time_elap: 0:02:49 | ep: 33/10000 | loss: 0.2150 | score_dev: 3.59 | avg_ep_time: 0:00:05 | avg_q: 1.5859 | score_avg: 43.0 | score: 42 | time: 18:23:41 | reward: -72 | 
epsilon: 0.1 | time_left: 14:15:48 | time_elap: 0:02:55 | ep: 34/10000 | loss: 6.5620 | score_dev: 3.62 | avg_ep_time: 0:00:05 | avg_q: 2.0283 | score_avg: 43.0 | score: 48 | time: 18:23:46 | reward: -68 | 
epsilon: 0.1 | time_left: 14:15:11 | time_elap: 0:03:00 | ep: 35/10000 | loss: 3.3739 | score_dev: 3.58 | avg_ep_time: 0:00:05 | avg_q: 1.3773 | score_avg: 43.0 | score: 42 | time: 18:23:51 | reward: -72 | 
epsilon: 0.1 | time_left: 14:14:43 | time_elap: 0:03:05 | ep: 36/10000 | loss: 0.4097 | score_dev: 3.53 | avg_ep_time: 0:00:05 | avg_q: 2.0951 | score_avg: 43.0 | score: 42 | time: 18:23:57 | reward: -70 | 
epsilon: 0.1 | time_left: 14:14:19 | time_elap: 0:03:10 | ep: 37/10000 | loss: 3.4760 | score_dev: 3.49 | avg_ep_time: 0:00:05 | avg_q: 1.5424 | score_avg: 43.0 | score: 42 | time: 18:24:02 | reward: -74 | 
epsilon: 0.1 | time_left: 14:13:51 | time_elap: 0:03:15 | ep: 38/10000 | loss: 6.5854 | score_dev: 3.45 | avg_ep_time: 0:00:05 | avg_q: 1.9675 | score_avg: 43.0 | score: 42 | time: 18:24:07 | reward: -74 | 
epsilon: 0.1 | time_left: 14:13:30 | time_elap: 0:03:20 | ep: 39/10000 | loss: 6.4613 | score_dev: 3.41 | avg_ep_time: 0:00:05 | avg_q: 1.6586 | score_avg: 43.0 | score: 42 | time: 18:24:12 | reward: -72 | 
epsilon: 0.1 | time_left: 14:13:12 | time_elap: 0:03:25 | ep: 40/10000 | loss: 6.4747 | score_dev: 3.37 | avg_ep_time: 0:00:05 | avg_q: 1.9090 | score_avg: 43.0 | score: 42 | time: 18:24:17 | reward: -70 | 
epsilon: 0.1 | time_left: 14:13:21 | time_elap: 0:03:30 | ep: 41/10000 | loss: 4.0235 | score_dev: 3.34 | avg_ep_time: 0:00:05 | avg_q: 3.5097 | score_avg: 43.0 | score: 42 | time: 18:24:22 | reward: -71 | 
epsilon: 0.1 | time_left: 14:12:59 | time_elap: 0:03:35 | ep: 42/10000 | loss: 10.2483 | score_dev: 3.3 | avg_ep_time: 0:00:05 | avg_q: 1.9044 | score_avg: 43.0 | score: 42 | time: 18:24:27 | reward: -76 | 
epsilon: 0.1 | time_left: 14:12:36 | time_elap: 0:03:40 | ep: 43/10000 | loss: 0.8451 | score_dev: 3.27 | avg_ep_time: 0:00:05 | avg_q: 2.6409 | score_avg: 43.0 | score: 42 | time: 18:24:32 | reward: -72 | 
epsilon: 0.1 | time_left: 14:15:18 | time_elap: 0:03:46 | ep: 44/10000 | loss: 3.4742 | score_dev: 3.35 | avg_ep_time: 0:00:05 | avg_q: 2.9362 | score_avg: 43.0 | score: 49 | time: 18:24:38 | reward: -66 | 
epsilon: 0.1 | time_left: 14:21:09 | time_elap: 0:03:53 | ep: 45/10000 | loss: 3.3590 | score_dev: 3.97 | avg_ep_time: 0:00:05 | avg_q: 2.6693 | score_avg: 44.0 | score: 58 | time: 18:24:45 | reward: -60 | 
epsilon: 0.1 | time_left: 14:20:39 | time_elap: 0:03:58 | ep: 46/10000 | loss: 6.6018 | score_dev: 3.93 | avg_ep_time: 0:00:05 | avg_q: 2.6978 | score_avg: 44.0 | score: 42 | time: 18:24:50 | reward: -70 | 
epsilon: 0.1 | time_left: 14:24:39 | time_elap: 0:04:04 | ep: 47/10000 | loss: 3.2965 | score_dev: 4.17 | avg_ep_time: 0:00:05 | avg_q: 2.7488 | score_avg: 44.0 | score: 54 | time: 18:24:56 | reward: -61 | 
epsilon: 0.1 | time_left: 14:24:10 | time_elap: 0:04:10 | ep: 48/10000 | loss: 0.1636 | score_dev: 4.14 | avg_ep_time: 0:00:05 | avg_q: 2.7576 | score_avg: 44.0 | score: 42 | time: 18:25:01 | reward: -72 | 
epsilon: 0.1 | time_left: 14:27:46 | time_elap: 0:04:16 | ep: 49/10000 | loss: 6.4926 | score_dev: 4.3 | avg_ep_time: 0:00:05 | avg_q: 2.7281 | score_avg: 44.0 | score: 53 | time: 18:25:08 | reward: -62 | 
epsilon: 0.1 | time_left: 14:27:06 | time_elap: 0:04:21 | ep: 50/10000 | loss: 6.5283 | score_dev: 4.27 | avg_ep_time: 0:00:05 | avg_q: 2.8268 | score_avg: 44.0 | score: 42 | time: 18:25:13 | reward: -80 | 
epsilon: 0.1 | time_left: 14:26:39 | time_elap: 0:04:26 | ep: 51/10000 | loss: 3.2985 | score_dev: 4.23 | avg_ep_time: 0:00:05 | avg_q: 2.6422 | score_avg: 44.0 | score: 42 | time: 18:25:18 | reward: -71 | 
epsilon: 0.1 | time_left: 14:26:03 | time_elap: 0:04:31 | ep: 52/10000 | loss: 9.7035 | score_dev: 4.2 | avg_ep_time: 0:00:05 | avg_q: 2.8099 | score_avg: 44.0 | score: 42 | time: 18:25:23 | reward: -74 | 
epsilon: 0.1 | time_left: 14:25:32 | time_elap: 0:04:36 | ep: 53/10000 | loss: 3.2758 | score_dev: 4.17 | avg_ep_time: 0:00:05 | avg_q: 2.6727 | score_avg: 44.0 | score: 42 | time: 18:25:28 | reward: -74 | 
epsilon: 0.1 | time_left: 14:25:04 | time_elap: 0:04:41 | ep: 54/10000 | loss: 6.5929 | score_dev: 4.13 | avg_ep_time: 0:00:05 | avg_q: 2.9242 | score_avg: 44.0 | score: 42 | time: 18:25:33 | reward: -74 | 
epsilon: 0.1 | time_left: 14:24:32 | time_elap: 0:04:46 | ep: 55/10000 | loss: 3.3956 | score_dev: 4.1 | avg_ep_time: 0:00:05 | avg_q: 2.4018 | score_avg: 44.0 | score: 42 | time: 18:25:38 | reward: -72 | 
epsilon: 0.1 | time_left: 14:24:02 | time_elap: 0:04:51 | ep: 56/10000 | loss: 13.0354 | score_dev: 4.07 | avg_ep_time: 0:00:05 | avg_q: 3.1159 | score_avg: 44.0 | score: 42 | time: 18:25:43 | reward: -72 | 
