loss: 0.3428 | epoch: 31/30000 | score: 41 | time left: 1 day, 16:58:59 | avg_q: 1.4587 | epsilon: 0.1 | reward: -84 | avg time per epoch: 0:00:04 | time elapsed: 0:02:32 | 
loss: 9.7149 | epoch: 32/30000 | score: 41 | time left: 1 day, 17:02:34 | avg_q: 1.3270 | epsilon: 0.1 | reward: -84 | avg time per epoch: 0:00:04 | time elapsed: 0:02:37 | 
loss: 3.2884 | epoch: 33/30000 | score: 41 | time left: 1 day, 17:01:10 | avg_q: 1.2143 | epsilon: 0.1 | reward: -88 | avg time per epoch: 0:00:04 | time elapsed: 0:02:42 | 
loss: 9.6007 | epoch: 34/30000 | score: 41 | time left: 1 day, 16:59:34 | avg_q: 1.1278 | epsilon: 0.1 | reward: -88 | avg time per epoch: 0:00:04 | time elapsed: 0:02:47 | 
loss: 6.5332 | epoch: 35/30000 | score: 41 | time left: 1 day, 16:58:04 | avg_q: 1.0702 | epsilon: 0.1 | reward: -84 | avg time per epoch: 0:00:04 | time elapsed: 0:02:52 | 
loss: 6.6081 | epoch: 36/30000 | score: 41 | time left: 1 day, 16:56:45 | avg_q: 1.0371 | epsilon: 0.1 | reward: -88 | avg time per epoch: 0:00:04 | time elapsed: 0:02:57 | 
loss: 6.5934 | epoch: 37/30000 | score: 41 | time left: 1 day, 16:55:26 | avg_q: 1.0287 | epsilon: 0.1 | reward: -84 | avg time per epoch: 0:00:04 | time elapsed: 0:03:01 | 
loss: 6.6408 | epoch: 38/30000 | score: 42 | time left: 1 day, 16:54:36 | avg_q: 1.0457 | epsilon: 0.1 | reward: -86 | avg time per epoch: 0:00:04 | time elapsed: 0:03:06 | 
loss: 12.9049 | epoch: 39/30000 | score: 41 | time left: 1 day, 16:53:40 | avg_q: 1.0733 | epsilon: 0.1 | reward: -86 | avg time per epoch: 0:00:04 | time elapsed: 0:03:11 | 
loss: 12.8816 | epoch: 40/30000 | score: 41 | time left: 1 day, 16:52:32 | avg_q: 1.1172 | epsilon: 0.1 | reward: -88 | avg time per epoch: 0:00:04 | time elapsed: 0:03:16 | 
loss: 10.2322 | epoch: 41/30000 | score: 51 | time left: 1 day, 17:04:36 | avg_q: 1.2014 | epsilon: 0.1 | reward: -87 | avg time per epoch: 0:00:04 | time elapsed: 0:03:22 | 
loss: 6.9979 | epoch: 42/30000 | score: 41 | time left: 1 day, 17:07:11 | avg_q: 1.3383 | epsilon: 0.1 | reward: -86 | avg time per epoch: 0:00:04 | time elapsed: 0:03:27 | 
loss: 16.3366 | epoch: 43/30000 | score: 41 | time left: 1 day, 17:06:16 | avg_q: 1.5067 | epsilon: 0.1 | reward: -88 | avg time per epoch: 0:00:04 | time elapsed: 0:03:32 | 
loss: 19.3901 | epoch: 44/30000 | score: 41 | time left: 1 day, 17:05:09 | avg_q: 1.6896 | epsilon: 0.1 | reward: -86 | avg time per epoch: 0:00:04 | time elapsed: 0:03:37 | 
loss: 9.7960 | epoch: 45/30000 | score: 41 | time left: 1 day, 17:03:56 | avg_q: 1.8788 | epsilon: 0.1 | reward: -88 | avg time per epoch: 0:00:04 | time elapsed: 0:03:42 | 
loss: 3.4711 | epoch: 46/30000 | score: 41 | time left: 1 day, 17:02:55 | avg_q: 2.0647 | epsilon: 0.1 | reward: -88 | avg time per epoch: 0:00:04 | time elapsed: 0:03:46 | 
loss: 6.6721 | epoch: 47/30000 | score: 41 | time left: 1 day, 17:01:51 | avg_q: 2.1793 | epsilon: 0.1 | reward: -86 | avg time per epoch: 0:00:04 | time elapsed: 0:03:51 | 
loss: 6.7377 | epoch: 48/30000 | score: 49 | time left: 1 day, 17:10:10 | avg_q: 2.1778 | epsilon: 0.1 | reward: -80 | avg time per epoch: 0:00:04 | time elapsed: 0:03:57 | 
loss: 9.8429 | epoch: 49/30000 | score: 41 | time left: 1 day, 17:09:06 | avg_q: 2.0910 | epsilon: 0.1 | reward: -84 | avg time per epoch: 0:00:04 | time elapsed: 0:04:02 | 
loss: 6.6610 | epoch: 50/30000 | score: 41 | time left: 1 day, 17:07:43 | avg_q: 1.9679 | epsilon: 0.1 | reward: -84 | avg time per epoch: 0:00:04 | time elapsed: 0:04:07 | 
loss: 16.0207 | epoch: 51/30000 | score: 41 | time left: 1 day, 17:06:36 | avg_q: 1.8249 | epsilon: 0.1 | reward: -86 | avg time per epoch: 0:00:04 | time elapsed: 0:04:12 | 
