loss: No train | epoch: 1/20000 | score: 51 | time left: 23:49:02 | avg_q: 0.0182 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:04 | time elapsed: 0:00:04 | 
loss: 10.4439 | epoch: 41/20000 | score: 42 | time left: 1 day, 9:25:24 | avg_q: 4.3437 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:06 | time elapsed: 0:04:07 | 
loss: 6.7828 | epoch: 42/20000 | score: 42 | time left: 1 day, 9:18:35 | avg_q: 4.5278 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:06 | time elapsed: 0:04:12 | 
loss: 10.0799 | epoch: 43/20000 | score: 67 | time left: 1 day, 9:30:14 | avg_q: 4.4000 | epsilon: 0.99 | reward: -85 | avg time per epoch: 0:00:06 | time elapsed: 0:04:19 | 
loss: 6.9511 | epoch: 44/20000 | score: 42 | time left: 1 day, 9:21:57 | avg_q: 4.3271 | epsilon: 0.99 | reward: -95 | avg time per epoch: 0:00:06 | time elapsed: 0:04:24 | 
loss: 3.6448 | epoch: 45/20000 | score: 61 | time left: 1 day, 9:28:15 | avg_q: 4.2735 | epsilon: 0.98 | reward: -80 | avg time per epoch: 0:00:06 | time elapsed: 0:04:31 | 
loss: 6.8293 | epoch: 46/20000 | score: 42 | time left: 1 day, 9:20:16 | avg_q: 3.9576 | epsilon: 0.98 | reward: -90 | avg time per epoch: 0:00:06 | time elapsed: 0:04:36 | 
loss: 10.0650 | epoch: 47/20000 | score: 63 | time left: 1 day, 9:27:39 | avg_q: 4.6393 | epsilon: 0.98 | reward: -87 | avg time per epoch: 0:00:06 | time elapsed: 0:04:43 | 
loss: 16.7521 | epoch: 48/20000 | score: 42 | time left: 1 day, 9:20:02 | avg_q: 3.5371 | epsilon: 0.98 | reward: -88 | avg time per epoch: 0:00:06 | time elapsed: 0:04:48 | 
loss: 19.9194 | epoch: 49/20000 | score: 43 | time left: 1 day, 9:12:46 | avg_q: 4.1051 | epsilon: 0.98 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:04:53 | 
loss: 13.2048 | epoch: 50/20000 | score: 68 | time left: 1 day, 9:23:48 | avg_q: 4.2439 | epsilon: 0.98 | reward: -84 | avg time per epoch: 0:00:06 | time elapsed: 0:05:01 | 
loss: 10.7445 | epoch: 51/20000 | score: 42 | time left: 1 day, 9:16:46 | avg_q: 4.8406 | epsilon: 0.98 | reward: -89 | avg time per epoch: 0:00:06 | time elapsed: 0:05:06 | 
loss: 6.9762 | epoch: 52/20000 | score: 42 | time left: 1 day, 9:09:56 | avg_q: 5.4159 | epsilon: 0.98 | reward: -93 | avg time per epoch: 0:00:05 | time elapsed: 0:05:11 | 
loss: 13.5660 | epoch: 53/20000 | score: 43 | time left: 1 day, 9:04:20 | avg_q: 4.9663 | epsilon: 0.98 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:05:16 | 
loss: 16.6558 | epoch: 54/20000 | score: 65 | time left: 1 day, 9:12:49 | avg_q: 5.1617 | epsilon: 0.98 | reward: -76 | avg time per epoch: 0:00:05 | time elapsed: 0:05:23 | 
loss: 0.4619 | epoch: 55/20000 | score: 42 | time left: 1 day, 9:06:35 | avg_q: 4.9279 | epsilon: 0.98 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:05:28 | 
loss: 19.8949 | epoch: 56/20000 | score: 42 | time left: 1 day, 9:00:27 | avg_q: 4.5640 | epsilon: 0.98 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:05:33 | 
loss: 0.6491 | epoch: 57/20000 | score: 43 | time left: 1 day, 8:54:32 | avg_q: 5.5299 | epsilon: 0.98 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:05:38 | 
loss: 10.2435 | epoch: 58/20000 | score: 49 | time left: 1 day, 8:53:00 | avg_q: 5.0900 | epsilon: 0.98 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:05:44 | 
loss: 19.8516 | epoch: 59/20000 | score: 69 | time left: 1 day, 9:03:26 | avg_q: 4.7966 | epsilon: 0.98 | reward: -79 | avg time per epoch: 0:00:05 | time elapsed: 0:05:52 | 
loss: 16.6851 | epoch: 60/20000 | score: 42 | time left: 1 day, 8:57:42 | avg_q: 5.1013 | epsilon: 0.98 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:05:57 | 
loss: 10.4682 | epoch: 61/20000 | score: 42 | time left: 1 day, 8:52:12 | avg_q: 6.2293 | epsilon: 0.97 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:06:02 | 
loss: 16.8609 | epoch: 62/20000 | score: 52 | time left: 1 day, 8:53:46 | avg_q: 5.7944 | epsilon: 0.97 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:06:08 | 
loss: 3.9210 | epoch: 63/20000 | score: 42 | time left: 1 day, 8:48:24 | avg_q: 6.5269 | epsilon: 0.97 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:06:13 | 
loss: 13.6812 | epoch: 64/20000 | score: 42 | time left: 1 day, 8:43:17 | avg_q: 5.9204 | epsilon: 0.97 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:06:18 | 
loss: 7.2159 | epoch: 65/20000 | score: 52 | time left: 1 day, 8:43:40 | avg_q: 5.9602 | epsilon: 0.97 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:06:24 | 
loss: 16.9425 | epoch: 66/20000 | score: 42 | time left: 1 day, 8:38:44 | avg_q: 5.2876 | epsilon: 0.97 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:06:29 | 
loss: 7.2903 | epoch: 67/20000 | score: 51 | time left: 1 day, 8:38:25 | avg_q: 6.3673 | epsilon: 0.97 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:06:34 | 
loss: 16.9986 | epoch: 68/20000 | score: 89 | time left: 1 day, 8:57:12 | avg_q: 5.4444 | epsilon: 0.97 | reward: -73 | avg time per epoch: 0:00:05 | time elapsed: 0:06:44 | 
loss: 13.6805 | epoch: 69/20000 | score: 90 | time left: 1 day, 9:16:14 | avg_q: 6.0573 | epsilon: 0.97 | reward: -74 | avg time per epoch: 0:00:06 | time elapsed: 0:06:54 | 
loss: 3.6345 | epoch: 70/20000 | score: 42 | time left: 1 day, 9:11:11 | avg_q: 5.9438 | epsilon: 0.97 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:06:59 | 
loss: 10.7466 | epoch: 71/20000 | score: 42 | time left: 1 day, 9:06:17 | avg_q: 7.3522 | epsilon: 0.97 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:07:04 | 
loss: 10.4980 | epoch: 72/20000 | score: 67 | time left: 1 day, 9:14:01 | avg_q: 6.5954 | epsilon: 0.97 | reward: -77 | avg time per epoch: 0:00:06 | time elapsed: 0:07:12 | 
loss: 10.5364 | epoch: 73/20000 | score: 57 | time left: 1 day, 9:16:42 | avg_q: 7.4138 | epsilon: 0.97 | reward: -86 | avg time per epoch: 0:00:06 | time elapsed: 0:07:18 | 
loss: 13.8613 | epoch: 74/20000 | score: 42 | time left: 1 day, 9:11:54 | avg_q: 7.0748 | epsilon: 0.97 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:07:23 | 
loss: 16.9053 | epoch: 75/20000 | score: 85 | time left: 1 day, 9:27:00 | avg_q: 6.6518 | epsilon: 0.97 | reward: -78 | avg time per epoch: 0:00:06 | time elapsed: 0:07:33 | 
loss: 3.8491 | epoch: 76/20000 | score: 42 | time left: 1 day, 9:22:13 | avg_q: 6.7134 | epsilon: 0.97 | reward: -89 | avg time per epoch: 0:00:06 | time elapsed: 0:07:38 | 
loss: 7.0563 | epoch: 77/20000 | score: 42 | time left: 1 day, 9:17:26 | avg_q: 6.8950 | epsilon: 0.96 | reward: -93 | avg time per epoch: 0:00:06 | time elapsed: 0:07:43 | 
loss: 7.0046 | epoch: 78/20000 | score: 61 | time left: 1 day, 9:21:12 | avg_q: 6.4221 | epsilon: 0.96 | reward: -89 | avg time per epoch: 0:00:06 | time elapsed: 0:07:50 | 
loss: 7.0869 | epoch: 79/20000 | score: 42 | time left: 1 day, 9:16:35 | avg_q: 6.6724 | epsilon: 0.96 | reward: -90 | avg time per epoch: 0:00:06 | time elapsed: 0:07:55 | 
loss: 10.4724 | epoch: 80/20000 | score: 42 | time left: 1 day, 9:12:05 | avg_q: 6.5116 | epsilon: 0.96 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:07:59 | 
loss: 17.2649 | epoch: 81/20000 | score: 50 | time left: 1 day, 9:11:23 | avg_q: 7.4717 | epsilon: 0.96 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:08:05 | 
loss: 7.1518 | epoch: 82/20000 | score: 42 | time left: 1 day, 9:08:03 | avg_q: 7.0127 | epsilon: 0.96 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:08:11 | 
loss: 17.1548 | epoch: 83/20000 | score: 43 | time left: 1 day, 9:04:27 | avg_q: 6.7989 | epsilon: 0.96 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:08:16 | 
loss: 13.7563 | epoch: 84/20000 | score: 42 | time left: 1 day, 9:00:17 | avg_q: 7.2654 | epsilon: 0.96 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:08:21 | 
loss: 7.2391 | epoch: 85/20000 | score: 42 | time left: 1 day, 8:56:14 | avg_q: 7.0472 | epsilon: 0.96 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:08:26 | 
loss: 10.4287 | epoch: 86/20000 | score: 43 | time left: 1 day, 8:52:16 | avg_q: 7.5564 | epsilon: 0.96 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:08:31 | 
loss: 10.5359 | epoch: 87/20000 | score: 42 | time left: 1 day, 8:48:22 | avg_q: 7.5963 | epsilon: 0.96 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:08:35 | 
loss: 23.7719 | epoch: 88/20000 | score: 43 | time left: 1 day, 8:44:37 | avg_q: 6.3569 | epsilon: 0.96 | reward: -95 | avg time per epoch: 0:00:05 | time elapsed: 0:08:40 | 
loss: 7.6199 | epoch: 89/20000 | score: 42 | time left: 1 day, 8:40:54 | avg_q: 7.9523 | epsilon: 0.96 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:08:45 | 
