loss: 3.3778 | epoch: 30/20000 | score: 59 | time left: 1 day, 8:46:35 | avg_q: 6.3387 | epsilon: 1.0 | reward: -98 | avg time per epoch: 0:00:05 | time elapsed: 0:03:03 | 
loss: 1.8094 | epoch: 31/20000 | score: 51 | time left: 1 day, 8:47:56 | avg_q: 4.5245 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:03:09 | 
loss: 1.7922 | epoch: 32/20000 | score: 41 | time left: 1 day, 8:36:24 | avg_q: 5.8919 | epsilon: 1.0 | reward: -101 | avg time per epoch: 0:00:05 | time elapsed: 0:03:13 | 
loss: 0.0890 | epoch: 33/20000 | score: 55 | time left: 1 day, 8:40:16 | avg_q: 5.0146 | epsilon: 1.0 | reward: -93 | avg time per epoch: 0:00:05 | time elapsed: 0:03:20 | 
loss: 5.0525 | epoch: 34/20000 | score: 41 | time left: 1 day, 8:29:39 | avg_q: 5.9128 | epsilon: 1.0 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:03:25 | 
loss: 5.0703 | epoch: 35/20000 | score: 62 | time left: 1 day, 8:40:31 | avg_q: 7.1926 | epsilon: 1.0 | reward: -112 | avg time per epoch: 0:00:05 | time elapsed: 0:03:32 | 
loss: 0.1562 | epoch: 36/20000 | score: 41 | time left: 1 day, 8:30:33 | avg_q: 6.3980 | epsilon: 1.0 | reward: -97 | avg time per epoch: 0:00:05 | time elapsed: 0:03:36 | 
loss: 1.7849 | epoch: 37/20000 | score: 41 | time left: 1 day, 8:21:04 | avg_q: 8.1910 | epsilon: 1.0 | reward: -101 | avg time per epoch: 0:00:05 | time elapsed: 0:03:41 | 
loss: 3.5771 | epoch: 38/20000 | score: 58 | time left: 1 day, 8:27:25 | avg_q: 5.9965 | epsilon: 1.0 | reward: -105 | avg time per epoch: 0:00:05 | time elapsed: 0:03:48 | 
loss: 0.1549 | epoch: 39/20000 | score: 49 | time left: 1 day, 8:25:51 | avg_q: 7.9993 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:05 | time elapsed: 0:03:53 | 
loss: 3.8110 | epoch: 40/20000 | score: 74 | time left: 1 day, 8:45:14 | avg_q: 10.1532 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:04:02 | 
loss: 0.2314 | epoch: 41/20000 | score: 41 | time left: 1 day, 8:37:55 | avg_q: 7.9872 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:04:07 | 
loss: 1.9224 | epoch: 42/20000 | score: 42 | time left: 1 day, 8:30:38 | avg_q: 9.4588 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:04:12 | 
loss: 0.2609 | epoch: 43/20000 | score: 42 | time left: 1 day, 8:23:35 | avg_q: 7.3589 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:04:17 | 
loss: 5.4480 | epoch: 44/20000 | score: 64 | time left: 1 day, 8:34:35 | avg_q: 8.8948 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:04:24 | 
loss: 1.9503 | epoch: 45/20000 | score: 43 | time left: 1 day, 8:27:49 | avg_q: 9.6743 | epsilon: 1.0 | reward: -98 | avg time per epoch: 0:00:05 | time elapsed: 0:04:29 | 
loss: 3.7010 | epoch: 46/20000 | score: 41 | time left: 1 day, 8:21:15 | avg_q: 9.9580 | epsilon: 1.0 | reward: -98 | avg time per epoch: 0:00:05 | time elapsed: 0:04:34 | 
loss: 0.2416 | epoch: 47/20000 | score: 60 | time left: 1 day, 8:28:29 | avg_q: 9.8270 | epsilon: 1.0 | reward: -113 | avg time per epoch: 0:00:05 | time elapsed: 0:04:41 | 
loss: 3.6491 | epoch: 48/20000 | score: 50 | time left: 1 day, 8:28:13 | avg_q: 9.2695 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:04:47 | 
loss: 1.8977 | epoch: 49/20000 | score: 104 | time left: 1 day, 9:03:56 | avg_q: 10.3583 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:04:58 | 
loss: 5.4774 | epoch: 50/20000 | score: 67 | time left: 1 day, 9:13:52 | avg_q: 12.8197 | epsilon: 1.0 | reward: -105 | avg time per epoch: 0:00:05 | time elapsed: 0:05:05 | 
loss: 2.0755 | epoch: 51/20000 | score: 75 | time left: 1 day, 9:30:34 | avg_q: 10.1372 | epsilon: 1.0 | reward: -105 | avg time per epoch: 0:00:06 | time elapsed: 0:05:14 | 
loss: 4.0395 | epoch: 52/20000 | score: 51 | time left: 1 day, 9:30:06 | avg_q: 12.5438 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:06 | time elapsed: 0:05:20 | 
loss: 3.9032 | epoch: 53/20000 | score: 63 | time left: 1 day, 9:37:00 | avg_q: 9.9219 | epsilon: 1.0 | reward: -95 | avg time per epoch: 0:00:06 | time elapsed: 0:05:27 | 
loss: 2.0324 | epoch: 54/20000 | score: 41 | time left: 1 day, 9:29:14 | avg_q: 12.3222 | epsilon: 1.0 | reward: -95 | avg time per epoch: 0:00:06 | time elapsed: 0:05:32 | 
loss: 2.2793 | epoch: 55/20000 | score: 51 | time left: 1 day, 9:28:00 | avg_q: 14.8950 | epsilon: 1.0 | reward: -96 | avg time per epoch: 0:00:06 | time elapsed: 0:05:38 | 
loss: 2.2359 | epoch: 56/20000 | score: 51 | time left: 1 day, 9:26:48 | avg_q: 11.6719 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:06 | time elapsed: 0:05:44 | 
loss: 7.5777 | epoch: 57/20000 | score: 41 | time left: 1 day, 9:19:35 | avg_q: 13.9258 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:06 | time elapsed: 0:05:48 | 
loss: 2.0265 | epoch: 58/20000 | score: 60 | time left: 1 day, 9:24:22 | avg_q: 13.4857 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:06 | time elapsed: 0:05:55 | 
loss: 5.6210 | epoch: 59/20000 | score: 43 | time left: 1 day, 9:18:11 | avg_q: 12.3271 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:06 | time elapsed: 0:06:00 | 
loss: 2.1757 | epoch: 60/20000 | score: 49 | time left: 1 day, 9:16:28 | avg_q: 15.4590 | epsilon: 1.0 | reward: -93 | avg time per epoch: 0:00:06 | time elapsed: 0:06:06 | 
loss: 4.1164 | epoch: 61/20000 | score: 41 | time left: 1 day, 9:11:00 | avg_q: 12.2270 | epsilon: 1.0 | reward: -95 | avg time per epoch: 0:00:05 | time elapsed: 0:06:11 | 
loss: 4.0995 | epoch: 62/20000 | score: 43 | time left: 1 day, 9:05:25 | avg_q: 14.0661 | epsilon: 1.0 | reward: -98 | avg time per epoch: 0:00:05 | time elapsed: 0:06:16 | 
loss: 7.4629 | epoch: 63/20000 | score: 51 | time left: 1 day, 9:04:35 | avg_q: 12.6376 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:06:22 | 
loss: 3.8556 | epoch: 64/20000 | score: 57 | time left: 1 day, 9:07:41 | avg_q: 13.5927 | epsilon: 1.0 | reward: -97 | avg time per epoch: 0:00:05 | time elapsed: 0:06:28 | 
loss: 0.5285 | epoch: 65/20000 | score: 50 | time left: 1 day, 9:07:00 | avg_q: 15.8998 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:06:34 | 
loss: 4.2990 | epoch: 66/20000 | score: 43 | time left: 1 day, 9:02:31 | avg_q: 12.6510 | epsilon: 1.0 | reward: -105 | avg time per epoch: 0:00:05 | time elapsed: 0:06:39 | 
loss: 2.4693 | epoch: 67/20000 | score: 51 | time left: 1 day, 9:01:45 | avg_q: 15.1953 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:06:45 | 
loss: 3.9209 | epoch: 68/20000 | score: 64 | time left: 1 day, 9:07:33 | avg_q: 13.6459 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:05 | time elapsed: 0:06:52 | 
loss: 0.4188 | epoch: 69/20000 | score: 49 | time left: 1 day, 9:06:01 | avg_q: 14.8550 | epsilon: 1.0 | reward: -107 | avg time per epoch: 0:00:05 | time elapsed: 0:06:58 | 
loss: 2.2571 | epoch: 70/20000 | score: 52 | time left: 1 day, 9:05:59 | avg_q: 16.2375 | epsilon: 1.0 | reward: -109 | avg time per epoch: 0:00:05 | time elapsed: 0:07:04 | 
loss: 2.2190 | epoch: 71/20000 | score: 41 | time left: 1 day, 9:01:22 | avg_q: 15.1330 | epsilon: 1.0 | reward: -105 | avg time per epoch: 0:00:05 | time elapsed: 0:07:09 | 
loss: 4.0520 | epoch: 72/20000 | score: 51 | time left: 1 day, 9:01:26 | avg_q: 15.9554 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:05 | time elapsed: 0:07:15 | 
