loss: No train | epoch: 1/20000 | score: 51 | time left: 17:06:22 | avg_q: 0.0324 | epsilon: 1.0 | reward: -95 | avg time per epoch: 0:00:03 | time elapsed: 0:00:03 | 
loss: 6.5428 | epoch: 31/20000 | score: 43 | time left: 1 day, 6:54:24 | avg_q: 1.6978 | epsilon: 0.99 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:02:52 | 
loss: 12.7914 | epoch: 32/20000 | score: 42 | time left: 1 day, 6:47:48 | avg_q: 2.1063 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:02:57 | 
loss: 9.6578 | epoch: 33/20000 | score: 42 | time left: 1 day, 6:41:16 | avg_q: 1.5928 | epsilon: 0.99 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:03:02 | 
loss: 3.4878 | epoch: 34/20000 | score: 42 | time left: 1 day, 6:35:18 | avg_q: 2.6590 | epsilon: 0.99 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:03:07 | 
loss: 3.6044 | epoch: 35/20000 | score: 42 | time left: 1 day, 6:29:28 | avg_q: 1.4744 | epsilon: 0.99 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:03:12 | 
loss: 12.9611 | epoch: 36/20000 | score: 42 | time left: 1 day, 6:24:24 | avg_q: 1.9418 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:03:17 | 
loss: 9.5675 | epoch: 37/20000 | score: 42 | time left: 1 day, 6:19:59 | avg_q: 1.9188 | epsilon: 0.99 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:03:22 | 
loss: 9.6029 | epoch: 38/20000 | score: 42 | time left: 1 day, 6:14:53 | avg_q: 1.8940 | epsilon: 0.99 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:03:27 | 
loss: 19.0004 | epoch: 39/20000 | score: 42 | time left: 1 day, 6:10:23 | avg_q: 1.8202 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:03:32 | 
loss: 15.7664 | epoch: 40/20000 | score: 42 | time left: 1 day, 6:06:09 | avg_q: 1.7912 | epsilon: 0.99 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:03:37 | 
loss: 16.4201 | epoch: 41/20000 | score: 67 | time left: 1 day, 6:22:58 | avg_q: 3.5709 | epsilon: 0.99 | reward: -83 | avg time per epoch: 0:00:05 | time elapsed: 0:03:44 | 
loss: 6.9052 | epoch: 42/20000 | score: 42 | time left: 1 day, 6:20:31 | avg_q: 1.8621 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:03:49 | 
loss: 3.8618 | epoch: 43/20000 | score: 43 | time left: 1 day, 6:16:33 | avg_q: 2.7418 | epsilon: 0.99 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:03:54 | 
loss: 3.4892 | epoch: 44/20000 | score: 42 | time left: 1 day, 6:12:10 | avg_q: 2.4731 | epsilon: 0.99 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:03:59 | 
loss: 0.4367 | epoch: 45/20000 | score: 42 | time left: 1 day, 6:08:19 | avg_q: 3.1375 | epsilon: 0.98 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:04:04 | 
loss: 3.4975 | epoch: 46/20000 | score: 42 | time left: 1 day, 6:04:25 | avg_q: 2.2932 | epsilon: 0.98 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:04:09 | 
loss: 3.5465 | epoch: 47/20000 | score: 80 | time left: 1 day, 6:28:21 | avg_q: 3.1482 | epsilon: 0.98 | reward: -77 | avg time per epoch: 0:00:05 | time elapsed: 0:04:18 | 
loss: 0.3793 | epoch: 48/20000 | score: 81 | time left: 1 day, 6:53:07 | avg_q: 2.0647 | epsilon: 0.98 | reward: -69 | avg time per epoch: 0:00:05 | time elapsed: 0:04:27 | 
loss: 3.6084 | epoch: 49/20000 | score: 43 | time left: 1 day, 6:48:57 | avg_q: 2.5709 | epsilon: 0.98 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:04:32 | 
loss: 6.5964 | epoch: 50/20000 | score: 42 | time left: 1 day, 6:44:46 | avg_q: 2.6805 | epsilon: 0.98 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:04:37 | 
loss: 6.5009 | epoch: 51/20000 | score: 42 | time left: 1 day, 6:40:40 | avg_q: 2.9068 | epsilon: 0.98 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:04:42 | 
loss: 6.5561 | epoch: 52/20000 | score: 53 | time left: 1 day, 6:43:29 | avg_q: 2.1015 | epsilon: 0.98 | reward: -85 | avg time per epoch: 0:00:05 | time elapsed: 0:04:48 | 
loss: 3.5667 | epoch: 53/20000 | score: 51 | time left: 1 day, 6:46:13 | avg_q: 2.6077 | epsilon: 0.98 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:04:54 | 
loss: 0.2629 | epoch: 54/20000 | score: 42 | time left: 1 day, 6:42:00 | avg_q: 2.7553 | epsilon: 0.98 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:04:59 | 
loss: 12.8371 | epoch: 55/20000 | score: 55 | time left: 1 day, 6:46:25 | avg_q: 2.5360 | epsilon: 0.98 | reward: -85 | avg time per epoch: 0:00:05 | time elapsed: 0:05:05 | 
loss: 15.9506 | epoch: 56/20000 | score: 93 | time left: 1 day, 7:13:45 | avg_q: 2.4672 | epsilon: 0.98 | reward: -75 | avg time per epoch: 0:00:05 | time elapsed: 0:05:15 | 
loss: 3.3623 | epoch: 57/20000 | score: 42 | time left: 1 day, 7:09:27 | avg_q: 2.6279 | epsilon: 0.98 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:05:20 | 
loss: 3.4081 | epoch: 58/20000 | score: 42 | time left: 1 day, 7:05:28 | avg_q: 2.4851 | epsilon: 0.98 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:05:25 | 
loss: 3.4241 | epoch: 59/20000 | score: 58 | time left: 1 day, 7:10:42 | avg_q: 2.7039 | epsilon: 0.98 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:05:32 | 
loss: 9.5578 | epoch: 60/20000 | score: 59 | time left: 1 day, 7:16:38 | avg_q: 2.4950 | epsilon: 0.98 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:05:38 | 
loss: 0.8958 | epoch: 61/20000 | score: 51 | time left: 1 day, 7:17:40 | avg_q: 4.5853 | epsilon: 0.97 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:05:44 | 
loss: 7.3407 | epoch: 62/20000 | score: 73 | time left: 1 day, 7:32:10 | avg_q: 2.3220 | epsilon: 0.97 | reward: -80 | avg time per epoch: 0:00:05 | time elapsed: 0:05:53 | 
loss: 0.7912 | epoch: 63/20000 | score: 42 | time left: 1 day, 7:27:53 | avg_q: 3.1305 | epsilon: 0.97 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:05:57 | 
loss: 0.3804 | epoch: 64/20000 | score: 52 | time left: 1 day, 7:29:11 | avg_q: 3.1421 | epsilon: 0.97 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:06:03 | 
loss: 3.5476 | epoch: 65/20000 | score: 52 | time left: 1 day, 7:30:25 | avg_q: 3.2931 | epsilon: 0.97 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:06:09 | 
loss: 3.4302 | epoch: 66/20000 | score: 42 | time left: 1 day, 7:26:28 | avg_q: 3.5431 | epsilon: 0.97 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:06:14 | 
loss: 3.3982 | epoch: 67/20000 | score: 42 | time left: 1 day, 7:22:37 | avg_q: 3.0127 | epsilon: 0.97 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:06:19 | 
loss: 6.5803 | epoch: 68/20000 | score: 51 | time left: 1 day, 7:24:22 | avg_q: 3.5384 | epsilon: 0.97 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:06:25 | 
loss: 3.4403 | epoch: 69/20000 | score: 58 | time left: 1 day, 7:28:45 | avg_q: 2.6894 | epsilon: 0.97 | reward: -85 | avg time per epoch: 0:00:05 | time elapsed: 0:06:32 | 
loss: 3.7964 | epoch: 70/20000 | score: 64 | time left: 1 day, 7:36:27 | avg_q: 3.4018 | epsilon: 0.97 | reward: -83 | avg time per epoch: 0:00:05 | time elapsed: 0:06:39 | 
loss: 3.4935 | epoch: 71/20000 | score: 54 | time left: 1 day, 7:38:56 | avg_q: 3.0033 | epsilon: 0.97 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:06:45 | 
loss: 3.4128 | epoch: 72/20000 | score: 42 | time left: 1 day, 7:35:16 | avg_q: 3.4543 | epsilon: 0.97 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:06:50 | 
loss: 0.4078 | epoch: 73/20000 | score: 57 | time left: 1 day, 7:39:29 | avg_q: 2.8071 | epsilon: 0.97 | reward: -78 | avg time per epoch: 0:00:05 | time elapsed: 0:06:57 | 
loss: 3.5601 | epoch: 74/20000 | score: 42 | time left: 1 day, 7:35:42 | avg_q: 3.4056 | epsilon: 0.97 | reward: -87 | avg time per epoch: 0:00:05 | time elapsed: 0:07:02 | 
loss: 3.5778 | epoch: 75/20000 | score: 42 | time left: 1 day, 7:32:16 | avg_q: 3.1902 | epsilon: 0.97 | reward: -93 | avg time per epoch: 0:00:05 | time elapsed: 0:07:07 | 
loss: 3.4670 | epoch: 76/20000 | score: 42 | time left: 1 day, 7:28:45 | avg_q: 3.3584 | epsilon: 0.97 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:07:12 | 
loss: 3.5278 | epoch: 77/20000 | score: 42 | time left: 1 day, 7:25:23 | avg_q: 2.7979 | epsilon: 0.96 | reward: -93 | avg time per epoch: 0:00:05 | time elapsed: 0:07:17 | 
